"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
1;4;;;;;;;;;;;;;;4;4;6;5;87
2;;;;;;;;;4;4;4;;;;;;;;75
3;6;4;6;3;6;;;;;;;;;;;;;;86
4;;;;;;;;;;5;6;5;4;8;3;;;;88
5;;;;;;5;6;;;;;;;;;;;;87
6;;;;;;;;;;;8;5;4;5;;;;;90
7;;;3;4;6;3;5;3;;;;;;;;;;;77
8;3;5;5;;;;;;;;;7;4;7;6;6;6;6;98
9;;;;;;;;3;4;6;;;;;;;;;80
10;;;;3;6;4;5;3;4;;;;;;;;;;79
11;3;5;6;;;;;;;;;;;;;;;;84
12;;;;;;;;;;;5;5;3;6;;;;;83
13;5;4;3;3;;;;;;;;;;;5;4;4;5;80
14;6;6;6;5;5;5;5;7;;;;;;;;;;6;98
15;4;4;5;3;5;4;6;3;;;;;;;;;3;5;78
16;6;4;7;5;6;;;;4;6;5;5;3;5;3;5;3;4;84
17;;;;;;;;;;5;3;5;4;8;3;4;3;;80
18;;;;;;;;;;;;;;;;;;5;83
19;5;4;;;;;;;;;;;8;5;3;5;3;6;90
20;5;4;4;;;;;;;7;4;5;3;5;4;5;3;4;79
21;;;5;4;5;6;4;4;;;;;;;;;;;84
22;4;4;4;4;5;3;4;3;4;;;;;;;;3;3;71
23;;4;4;3;5;5;6;5;5;6;4;6;3;4;4;4;4;;81
24;;;;;;;;;;;;;;;4;4;3;;80
25;5;6;6;4;6;5;4;4;5;5;5;5;4;;;;;;87
26;;;;;;;;4;4;6;;;;;;;;;83
27;6;;;;;6;4;4;6;7;6;6;3;5;4;4;3;5;89
28;;;;;;;;;4;6;3;6;3;5;;;;;79
29;4;5;3;;;;;;;7;4;5;3;4;4;4;3;5;77
30;;;;;6;4;5;4;4;5;;;;;;;;;81
31;;;5;4;5;6;5;4;6;6;7;6;3;5;5;4;3;;89
32;8;4;5;4;5;4;4;3;7;4;;;;;;;;;85
33;4;5;4;4;6;5;4;4;5;;;;;;;;;;83
34;;;;;;;;;;;;;;6;;;;;86
35;;7;5;4;6;5;4;6;4;7;;;;;;;;;91
36;5;5;4;;;;;3;5;5;6;6;3;4;4;5;3;4;81
37;;;3;4;8;5;;;;;;;;;;;;;85
38;3;4;3;4;7;5;4;;;;4;5;3;4;3;5;4;6;77
39;;;;;;;;;;;;;;4;5;;;;85
40;5;5;6;;;;;;;;4;4;3;3;3;4;4;4;77
41;6;5;5;4;5;4;5;4;4;;;;;;;;;;85
42;;;;5;6;7;6;4;4;6;5;7;4;5;4;6;;;93
43;4;4;4;4;5;4;3;3;4;;;;;;;;4;4;74
44;3;5;6;3;6;6;5;4;5;7;6;6;4;;;;;5;89
45;;;;;;5;5;4;4;5;5;;;;;;;;83
46;5;3;;;;;;3;4;5;5;5;5;7;4;4;3;3;79
47;5;4;4;3;5;4;4;5;5;5;5;5;6;;;;;;82
48;4;3;3;4;;;;;;;;;;;;;3;5;75
49;;;;;;;;;4;6;4;6;4;4;3;;;;80
50;4;;;;;;;;;;;;;;;;;;82
51;;;;;;3;5;4;4;6;4;4;;;;;;;77
52;;;;3;6;5;4;3;5;6;7;6;4;;;;;;85
53;4;5;6;3;;4;5;3;4;6;6;4;3;5;4;5;3;4;80
54;;;;;;;;;;;;;;;;5;;;84
55;5;4;;;;6;3;3;5;5;4;6;3;4;3;4;3;4;76
56;4;4;4;4;5;;;;;;;;;;;;3;4;76
57;;;;;;;;;;;7;6;3;;;;;;88
58;;;6;4;6;4;5;3;4;9;6;4;3;4;;;;;84
59;;;;;;6;5;3;6;7;5;5;5;6;4;8;4;6;96
60;6;4;5;3;6;8;6;3;3;7;6;5;3;;;6;5;5;90
61;6;4;6;5;6;4;4;3;4;5;5;4;;;;;;;82
62;;;;;;;;;;6;5;4;4;3;4;4;4;4;78
63;;;;;;;6;3;6;6;4;6;4;4;3;5;4;;85
64;3;3;5;3;5;3;;;;;;;4;3;3;5;3;4;70
65;5;4;5;4;5;;;;;6;4;4;3;4;3;6;3;6;79
66;;4;5;3;6;4;5;3;4;5;7;5;4;6;4;5;;;83
67;;;;;;;;;;;;;5;4;5;4;3;;84
68;;;;;;5;4;3;6;5;;;;;;;;;82
69;;;;;;;;;;;;5;4;6;;;;;86
70;;;;;;;;;5;5;5;4;3;4;;;;;78
71;;;;;;;;3;4;5;4;5;3;5;3;5;3;5;76
72;3;3;5;4;6;4;5;3;4;9;5;4;3;4;3;;4;7;81
73;;;;;;;5;3;5;6;7;5;3;;;;;;85
74;;;;;;;;;;;5;4;3;5;3;5;4;6;81
75;5;6;5;;;;;;;;;;;;;;;;89
76;;;;;;;;;4;5;3;5;3;5;3;4;;;74
77;6;3;3;4;5;4;;;;;;;;4;4;5;4;4;77
78;;;;;;;;;;5;4;4;3;4;3;4;;;73
79;;;;;;;;;;;;;;;;5;4;4;82
80;;;;4;6;6;5;3;4;7;6;5;4;4;4;4;;;85
81;;4;4;4;5;3;4;3;4;5;4;4;3;4;;;;;71
82;3;3;3;4;6;;;;;;;;;;;5;3;5;75
83;3;3;5;4;5;6;4;4;5;6;5;;;;;;;6;82
84;5;;;;;;;;;;;;;;;5;4;5;86
85;;;;3;;;;;;;;;;;;;;;81
86;4;;;;;;;;5;5;4;5;4;5;4;5;4;4;81
